"","AER","time","y","model","linearized","predicted","residual"
"1","4",1,0.159235859,"Exponential",-1.83736878596082,0.183824579805263,-0.0245887208052632
"2","4",1,0.159235859,"Monomolecular",0.173444108996811,0.125459819067736,0.0337760399322641
"3","4",1,0.159235859,"Logistic",-1.66392467696401,0.173687358673171,-0.0144514996731706
"4","4",1,0.159235859,"Gompertz",-0.608334540554197,0.161348353215577,-0.00211249421557738
"5","4",2,0.257615409,"Exponential",-1.35628746899435,0.228853680157555,0.0287617288424451
"6","4",2,0.257615409,"Monomolecular",0.297887853382875,0.248627995901482,0.00898741309851836
"7","4",2,0.257615409,"Logistic",-1.05839961561148,0.233470397514874,0.0241450114851258
"8","4",2,0.257615409,"Gompertz",-0.304751164833295,0.239010313194017,0.0186050958059832
"9","4",3,0.304781681,"Exponential",-1.18815955868186,0.284912969621035,0.0198687113789652
"10","4",3,0.304781681,"Monomolecular",0.363529354687679,0.354449457152214,-0.0496677761522144
"11","4",3,0.304781681,"Logistic",-0.824630203994183,0.306205418915427,-0.00142373791542705
"12","4",3,0.304781681,"Gompertz",-0.17240552057662,0.325318899102875,-0.0205372181028751
"13","4",7,0.656147721,"Exponential",-0.421369330937042,0.6844307200888,-0.0282829990887996
"14","4",7,0.656147721,"Monomolecular",1.06754313534819,0.648252340839022,0.00789538016097802
"15","4",7,0.656147721,"Logistic",0.646173804411146,0.660533682032959,-0.00438596103295907
"16","4",7,0.656147721,"Gompertz",0.864245559242433,0.65341672969879,0.00273099130121024
"17","3",1,0.196455494,"Exponential",-1.62731936696506,0.215595017351182,-0.0191395233511818
"18","3",1,0.196455494,"Monomolecular",0.218722705170534,0.176839049906194,0.0196164440938058
"19","3",1,0.196455494,"Logistic",-1.40859666179452,0.207551170927545,-0.0110956769275449
"20","3",1,0.196455494,"Gompertz",-0.486934100901055,0.198626432533911,-0.00217093853391129
"21","3",2,0.288979353,"Exponential",-1.24140003632845,0.256668330799592,0.032311022200408
"22","3",2,0.288979353,"Monomolecular",0.341053810219378,0.26890221474704,0.0200771382529598
"23","3",2,0.288979353,"Logistic",-0.900346226109068,0.259847272171398,0.0291320808286021
"24","3",2,0.288979353,"Gompertz",-0.216239804261508,0.263244752979609,0.0257346000203911
"25","3",3,0.302900161,"Exponential",-1.19435202942053,0.305566579621547,-0.00266641862154737
"26","3",3,0.302900161,"Monomolecular",0.360826637446632,0.350668940817866,-0.0477687798178658
"27","3",3,0.302900161,"Logistic",-0.833525391973898,0.319999303804299,-0.0170991428042994
"28","3",3,0.302900161,"Gompertz",-0.177603803526488,0.33217481009214,-0.0292746490921404
"29","3",7,0.603568382,"Exponential",-0.50489593583288,0.613818706340829,-0.0102503243408286
"30","3",7,0.603568382,"Monomolecular",0.9252517168414,0.595955675370479,0.00761270662952107
"31","3",7,0.603568382,"Logistic",0.42035578100852,0.603046468595743,0.000521913404257224
"32","3",7,0.603568382,"Gompertz",0.683402938599298,0.5990653611195,0.00450302088050014
"33","2",1,0.155202973,"Exponential",-1.86302151548866,0.17428155007537,-0.0190785770753698
"34","2",1,0.155202973,"Monomolecular",0.168658885212469,0.118610295074193,0.0365926779258074
"35","2",1,0.155202973,"Logistic",-1.69436263027619,0.165090741317168,-0.00988776831716828
"36","2",1,0.155202973,"Gompertz",-0.622199640392622,0.153353128748199,0.00184984425180076
"37","2",2,0.225556922,"Exponential",-1.4891827261728,0.218150881159248,0.00740604084075164
"38","2",2,0.225556922,"Monomolecular",0.255611116984282,0.23787160610184,-0.01231468410184
"39","2",2,0.225556922,"Logistic",-1.23357160918851,0.222539521858679,0.00301740014132085
"40","2",2,0.225556922,"Gompertz",-0.398227463548664,0.228040642913625,-0.00248372091362495
"41","2",3,0.311648909,"Exponential",-1.16587801645537,0.273062793680546,0.0385861153194537
"42","2",3,0.311648909,"Monomolecular",0.373456264524924,0.340995605531061,-0.0293466965310607
"43","2",3,0.311648909,"Logistic",-0.792421751930445,0.292964710218672,0.0186841987813283
"44","2",3,0.311648909,"Gompertz",-0.153474465350377,0.311793074603931,-0.000144165603930713
"45","2",7,0.637872483,"Exponential",-0.449616885519955,0.670323985463443,-0.0324515024634433
"46","2",7,0.637872483,"Monomolecular",1.01575887227819,0.631592057106818,0.00628042589318212
"47","2",7,0.637872483,"Logistic",0.566141986758232,0.645329143318008,-0.00745666031800774
"48","2",7,0.637872483,"Gompertz",0.799359424346428,0.637481592715898,0.000390890284102441
